CustomerID,Current_Status,Churn_Probability,Tenure_Months,Monthly_Bill,Contract_Type,Internet_Service,Payment_Method,Risk_Tier
5150-ITWWB,No,0.8287613713926475,3,94.85,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
2545-EBUPK,No,0.8160555874709714,2,84.05,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
6630-UJZMY,No,0.7984576093756526,4,83.25,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
8161-QYMTT,No,0.7871516687247778,7,94.1,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
7668-XCFYV,No,0.7855342767389574,17,92.55,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
4847-TAJYI,No,0.785173803126779,6,89.35,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
0021-IKXGC,No,0.7812397854183869,1,72.1,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
3489-HHPFY,No,0.7805347264225401,2,84.05,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
6350-XFYGW,No,0.7796094912693433,4,94.75,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
0187-QSXOE,No,0.7788007226940091,7,89.0,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
4912-PIGUY,No,0.7771818346117767,1,84.6,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
4115-NZRKS,No,0.7764903270405998,7,89.15,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
3320-VEOYC,No,0.7735487700849557,14,95.6,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
7577-SWIFR,No,0.7730532872895118,1,89.25,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
5935-FCCNB,No,0.7727973061673359,17,94.2,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
7225-CBZPL,No,0.7700250295255765,17,94.8,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
3452-GWUIN,No,0.7691629179617061,19,94.95,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
0916-QOFDP,No,0.766752868978799,14,95.8,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
7398-SKNQZ,No,0.7633824439887918,3,94.9,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
4927-WWOOZ,No,0.7606360465401615,2,91.45,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
1197-BVMVG,No,0.7586926861477125,4,74.45,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
3318-NMQXL,No,0.7569770325854612,3,92.0,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
8739-XNIKG,No,0.7561677831792823,5,84.0,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
2235-DWLJU,No,0.7557931776037313,6,44.4,Month-to-month,DSL,Electronic check,High Risk (Immediate Action)
6969-MVBAI,No,0.7548791700109442,9,90.1,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
4273-MBHYA,No,0.7527794143051459,1,89.35,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
1941-HOSAM,No,0.7518892253102321,1,90.1,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
8622-ZLFKO,No,0.7393626858756471,6,90.75,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
2077-MPJQO,No,0.7390034196099263,7,75.4,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
9799-CAYJJ,No,0.7376252329180427,2,69.3,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
9334-GWGOW,No,0.7375683369728371,7,74.85,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
1452-VOQCH,No,0.7368964748082417,1,75.1,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
3096-GKWEB,No,0.7368741961629796,18,94.75,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
9290-SHCMB,No,0.7362593549579585,13,96.85,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
9957-YODKZ,No,0.7357853529411745,6,80.8,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
9402-ORRAH,No,0.7335583234618993,15,91.5,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
4090-KPJIP,No,0.7333693928109756,3,74.95,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
7858-GTZSP,No,0.7313209580963181,12,86.55,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
9605-WGJVW,No,0.7312365852249991,1,70.2,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
2876-GZYZC,No,0.7299884004157999,13,85.95,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
9919-KNPOO,No,0.7297622208558069,21,94.3,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
2789-HQBOU,No,0.7291461211485819,3,80.35,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
3878-AVSOQ,No,0.7290712821674248,1,71.25,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
4749-OJKQU,No,0.7260430810085176,4,75.65,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
6229-LSCKB,No,0.7232203906862494,6,79.7,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
2688-BHGOG,No,0.7232069379587325,9,79.55,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
1200-TUZHR,No,0.7227423252895049,8,85.2,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
9603-OAIHC,No,0.7213294269375089,1,70.05,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
7439-DKZTW,No,0.7207954958093238,1,80.55,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
2985-FMWYF,No,0.7206717363126917,23,93.5,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
2215-ZAFGX,No,0.7206624300840823,9,85.5,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
2123-AGEEN,No,0.7203811468126955,7,84.35,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
8087-LGYHQ,No,0.720251927263608,9,94.05,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
4929-XIHVW,No,0.718960171103334,2,95.5,Month-to-month,Fiber optic,Credit card (automatic),High Risk (Immediate Action)
2018-QKYGT,No,0.7182900032156336,1,81.05,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
4060-LDNLU,No,0.7180525824547195,7,96.2,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
2880-FPNAE,No,0.7178156679094285,2,74.2,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
6357-JJPQT,No,0.7177377619520432,3,80.5,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
6860-YRJZP,No,0.7174693582093082,9,74.05,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
4234-XTNEA,No,0.716331230073032,2,79.95,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
